HINBAN.CSV
"ïiî‘","çHíˆÉRÅ[Éh","êªïiãÊï™","èîå˚ãÊï™","éÂä«éñã∆èä","ï€ä«èÍèä","HinTanaNo","ïiñºó™èÃ","ïiñº","ïiñºÅi∂≈Åj","ïiñ⁄ÇP","ïiñ⁄ÇQ","è¡îÔê≈ïiñ⁄","åüç∏ïiñ⁄","íPà ÉRÅ[Éh","ì¸ÇËêî","ç´ïÔâ◊épÅiäOëïÅj","ç´ïÔâ◊épÅiì‡ëïÅj","ç´ïÔíPà ÅiäOëïÅj","ç´ïÔíPà Åiì‡ëïÅj","ê∂éYåvâÊóvî€ãÊï™","ç›å…åvè„ãÊï™","î≠íçì_ä«óùãÊï™","ÉLÉbÉgèoå…ãÊï™","î≠íçì_ç›å…êî","äÓèÄÅiïWèÄÅjç›å…êî","ÉXÉNÉâÉbÉvïiî‘","ÉXÉNÉâÉbÉvçHíˆÉRÅ[Éh","ÇjÇdÇxÅ|ÇmÇn","ç≈êVì¸å…ì˙","ç≈êVèoå…ì˙","îÃîÑó›åvêî","îıçl","ìoò^îNåéì˙","å¥âøåvéZÉtÉâÉO","çﬁéø","çﬁå˙","ïù","í∑Ç≥","óeêœ","î‰èd","íPèd","é©óRì¸óÕóìÇP","é©óRì¸óÕóìÇQ","é©óRì¸óÕóìÇR","é©óRì¸óÕóìÇS","é©óRì¸óÕóìÇT","é©óRì¸óÕóìÇU","é©óRì¸óÕóìÇV","é©óRì¸óÕóìÇW","é©óRì¸óÕóìÇX","é©óRì¸óÕóìÇPÇO","é©óRì¸óÕóìÇPÇP","é©óRì¸óÕóìÇPÇQ","é©óRì¸óÕóìÇPÇR","é©óRì¸óÕóìÇPÇS","é©óRì¸óÕóìÇPÇT","é©óRì¸óÕóìÇPÇU","é©óRì¸óÕóìÇPÇV","é©óRì¸óÕóìÇPÇW","é©óRì¸óÕóìÇPÇX","é©óRì¸óÕóìÇQÇO","íPèdåvéZï˚ñ@ãÊï™","ÉJÉâÅ[","èWñÒïiî‘","èWñÒçHíˆÉRÅ[Éh","¿ﬁ–∞ãÊï™","óLå¯ä˙å¿êîãÊï™","óLå¯ä˙å¿êî","í[êîèàóùãÊï™","è¨êîãÊï™","íIâµèâä˙íl","HinSeibanKBN","HinStateKBN","HinStateDay"
"EDMG-M6-S","","5","","","","","¥Œﬂ›DMã‡êFM-6","¥Œﬂ›DMã‡êFM-6","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41101","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"EDMG-M7-S","","5","","","","","¥Œﬂ›DMã‡êFM-7","¥Œﬂ›DMã‡êFM-7","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41102","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"EDNG-S8-S","","5","","","","","¥Œﬂ›DMã‡êFS-8","¥Œﬂ›DMã‡êFS-8","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41103","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0.5L-MAR","","1","","","","","0.5ágä€ä ","0.5ágä€ä ","","GK","","","","CN","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42428","20160310","","0.000000","","20160414","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0.5L-NAIMEN","","1","","","","","0.5ágì‡ñ €∞‘Ÿ","ÇOÅDÇTágì‡ñ ÉçÅ[ÉÑÉã","","GK","","","","CN","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40003","20200403","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0.5L-NAIMEN-K","","1","","","","","îpî‘","îpî‘","","GK","","","","CN","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42000","20161017","","0.000000","","20101119","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0.5L-RYL","","1","","","","","0.5ág€∞‘Ÿäp","ÇOÅDÇTágÉçÅ[ÉÑÉãäp","","GK","","","","CN","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40004","20200713","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0.5L-RYL-K","","1","","","","","îpî‘","îpî‘","","GK","","","","CN","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41999","20181101","","0.000000","","20101119","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0215M-TY","","1","","","","","0215M-TY","0215M-TY","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42341","20200403","","0.000000","","20140829","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0670TSAL","","1","","","","","0670TS","ÇOÇUÇVÇOÇsÇr","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40005","20200424","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-0692M-TY","","1","","","","","0692M-TY ±Ÿ–","ÇOÇUÇXÇQÇlÅ|ÇsÇx ÉAÉãÉ~","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42350","20141118","","0.000000","","20141029","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
