,ó’‚m‚n,ó’s‚m‚n,add
0,J204000830,0,1.0
1,J204000776,0,1.0
2,J204000830,1,1.0
3,J204000776,1,1.0
4,J204000732,1,1.0
5,J204000750,0,1.0
6,J204000810,0,1.0
7,J204000732,0,1.0
8,J204000810,1,1.0
9,J204000829,0,1.0
10,J204000835,0,1.0
11,J204000699,0,1.0
12,J204000844,1,2.0
13,J204000698,0,1.0
14,J204000843,0,2.0
15,J203000904,0,1.0
16,J204000840,0,1.0
17,J204000840,1,1.0
18,J204000842,0,1.0
19,J203000834,0,1.0
20,J204000838,0,1.0
21,J203000998,2,1.0
22,J204000644,1,1.0
23,J204000660,2,1.0
24,J204000644,0,1.0
25,J203000998,3,1.0
26,J204000645,0,1.0
27,J204000660,3,1.0
28,J204000646,0,1.0
29,J204000660,5,1.0
30,J203000998,0,1.0
31,J204000660,0,1.0
32,J203000998,1,1.0
33,J204000660,1,1.0
34,J203000998,4,1.0
35,J204000645,1,1.0
36,J204000660,4,1.0
37,J204000659,2,1.0
38,J204000659,7,1.0
39,J204000659,4,1.0
40,J204000659,5,1.0
41,J204000659,6,1.0
42,J204000659,1,1.0
43,J204000659,0,1.0
44,J204000659,3,1.0
45,J204000647,0,1.0
46,J202000894,0,1.0
47,J204000711,0,1.0
48,J203000949,3,1.0
49,J203000949,4,1.0
50,J203000945,1,1.0
51,J203000945,6,1.0
52,J203000945,10,1.0
53,J203000962,0,1.0
54,J203000963,3,1.0
55,J203000964,3,1.0
56,J204000731,1,1.0
57,J204000774,0,1.0
58,J203000857,1,1.0
59,J203000944,0,1.0
60,J204000803,0,1.0
61,J204000802,0,1.0
62,J204000827,3,1.0
63,J204000827,0,1.0
64,J204000827,4,1.0
65,J204000827,1,1.0
66,J204000827,2,1.0
