事業所コード,相手先コード１,相手先名称１,郵便番号１,郵便番号２,住所１,ﾄｰﾙ距離,ﾄｰﾙ中継回数,ﾄｰﾙ行く行かない,新潟距離,新潟中継回数,新潟行く行かない,ｹｲﾋﾝ,顧客指定運送屋,輸出向先,得意先コード,納入先コード,西濃距離
618,T0015,鈴木鍍金工業株式会社,334,0076,埼玉県川口市本蓮４－６－１６,50,0,,52,0,,-,無し,,T0015,H213,100
619,T1210,日本通運株式会社,286,0825,千葉県成田市新泉３０,50,0,,43,1,,成田,無し,y,T1210,PHH03,50
620,T3850,株式会社　富士メタル　第２工場,287,0102,千葉県香取市岩部８６９－２３２,50,0,,112,1,,-,無し,,T3850,H207,50
621,T2880,西鉄物流株式会社　成田梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T2880,TES06,50
622,T2880,西鉄物流株式会社　成田梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T2880,INI04,50
623,T1210,日本通運株式会社,286,0825,千葉県成田市新泉３０,50,0,,43,1,,成田,無し,y,T1210,SHK08,50
624,T2880,株式会社 築港 ポートアイランド,650,0045,兵庫県神戸市中央区港島８－７,750,0,,662,0,,-,無し,y,T2880,GZS11,700
625,T3900,第一物産株式会社,933,8666,富山県高岡市宮田町９番１６号,500,1,,502,0,,-,新潟,,T3900,,500
626,T3820,津田工業株式会社　紀の川工場,649,6402,和歌山県紀の川市北勢田字烏子川1088-9,700,0,,702,1,,-,無し,,T3820,H215,700
627,T3910,菱和工業株式会社,144,0033,東京都大田区東糀谷５－２０－１９,50,0,,52,0,,-,無し,,T3910,,100
628,T3920,富士塗料興業株式会社,984,0015,宮城県仙台市若林区卸町３丁目１－１７,450,1,,425,0,,-,新潟,,T3920,,450
629,T2880,西鉄物流株式会社　成田梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T2880,HAS06,50
630,T2880,日通商事株式会社　深川サブセンター,286,0826,千葉県成田市東和泉字境前　443-50,50,0,,43,1,,成田,無し,y,T2880,USF06,50
631,T3930,株式会社　親和,350,14,埼玉県川越市古市場７６１,150,0,,131,0,,-,無し,,T3930,,100
632,T0015,カネジ塗料株式会社,132,0022,東京都江戸川区大杉５－６－１,50,0,,52,0,,-,無し,,T0015,H216,100
633,T3590,ディアンドディ株式会社,370,0027,群馬県高崎市上滝町２７３－１,200,1,,161,0,,-,無し,,T3590,H214,200
634,T3940,株式会社　板通　水戸支店,311,3116,茨城県東茨城郡茨城町長岡字矢頭３５２４,150,1,,175,,,,新潟,,T3940,,200
635,T1210,安達包運倉庫株式会社,498,0068,愛知県弥富市鍋田町六野８２－１,500,0,,435,0,,愛知,無し,y,T1210,VES16,550
636,T1210,安達包運倉庫株式会社,498,0068,愛知県弥富市鍋田町六野８２－１,500,0,,435,0,,愛知,無し,y,T1210,PHH04,550
637,T1210,安達包運倉庫株式会社,498,0068,愛知県弥富市鍋田町六野８２－１,500,0,,435,0,,愛知,無し,y,T1210,BRK03,550
638,T0070,宝島造形有限会社,561,0841,大阪府豊中市名神口３－６－３１,650,0,,639,0,,,無し,,T0070,H217,650
639,T1210,安達包運倉庫株式会社,498,0068,愛知県弥富市鍋田町六野８２－１,500,0,,435,0,,愛知,無し,y,T1210,SAL06,550
640,T3420,株式会社ｎｉｔｔｏｈ　上諏訪工場,392,21,長野県諏訪市上川１－１５３８,300,1,,275,0,,-,新潟,,T3420,H218,300
641,T3830,株式会社　大塚プラスチック工業,370,2324,群馬県富岡市南後箇1804,200,1,,161,0,,-,無し,,T3830,H219,200
642,T0070,株式会社　新巧模型製作所,474,71,愛知県大府市梶田町一丁目５番地,450,0,,457,1,,-,新潟,,T0070,H220,450
643,T3950,松原塗料株式会社,450,3,愛知県名古屋市中村区名駅南２－１０－１７,450,0,,435,0,,-,,,T3950,,450
644,T3960,株式会社　東海化成工業所,501,2101,岐阜県山県市大桑３１０－１,500,0,,493,1,,-,西濃,,T3960,,500
645,T0060,株式会社　戸上化成,849,903,佐賀県佐賀市久保泉町大字下和泉2778-1,1500,1,,1338,1,-,-,ﾄｰﾙ,,T0060,H221,1400
646,T1210,名港海運㈱　西２区名港物流センター,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,INS17,500
647,T1210,名港海運㈱　西２区名港物流センター,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,VES17,500
648,T3970,ＮＣＣ株式会社,392,15,長野県諏訪市中洲２４４２－１,300,1,,275,0,,-,新潟,,T3970,,300
649,T1210,安達包運倉庫株式会社,498,0068,愛知県弥富市鍋田町六野８２－１,500,0,,435,0,,愛知,無し,y,T1210,SHK09,550
650,T3820,津田工業株式会社　東松山工場,355,71,埼玉県東松山市新郷８８－２４,100,0,,147,1,,-,無し,,T3820,H204,100
651,T3990,株式会社　スガタ商事,990,2473,山形県山形市松栄１丁目５－４,450,1,,434,0,,,新潟,,T3990,,450
652,T3990,西鉄物流株式会社　成田梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T3990,VEM01,50
653,T3980,富士化学塗料株式会社,243,426,神奈川県海老名市門沢橋６－９－２４,100,0,,107,0,,-,無し,,T3980,,150
654,T1210,日本通運株式会社　名古屋ﾌｫﾜｰﾃﾞｨﾝｸﾞ支店,479,881,愛知県常滑市セントレア３－１２－４,450,0,,440,1,,愛知,新潟,y,T1210,TAD13,500
655,T1210,日本通運株式会社,286,0825,千葉県成田市新泉３０,50,0,,43,1,,成田,無し,y,T1210,TAD14,50
656,T3830,株式会社　奈良原産業,370,0614,群馬県邑楽郡邑楽町大字赤塚４１２７－２,150,1,,159,1,,-,無し,,T3830,H222,150
657,T4010,昇栄産業株式会社,131,0041,東京都墨田区八広５－２－３,50,0,,52,0,,-,無し,,T4010,,100
658,T4020,株式会社　森谷真空,252,823,神奈川県藤沢市菖蒲沢６８,100,0,,114,1,,-,無し,,T4020,,150
659,T4030,柿原工業株式会社,721,956,広島県福山市箕沖町９９－１３,900,0,,856,0,,-,無し,,T4030,,900
660,T2900,鶴見倉庫株式会社,230,0053,神奈川県横浜市鶴見区大黒町８－１,100,0,,88,0,,横浜,無し,y,T2900,USS04,100
661,T0015,株式会社　進光舎鍍金,131,0041,東京都墨田区八広４－４２－７,50,0,,52,0,,-,無し,,T0015,H223,100
662,T3570,株式会社　トウ・プラス　小鹿野工場,368,101,埼玉県秩父郡小鹿野下小鹿野１１０３－１,200,1,,191,1,,-,無し,,T3570,H224,200
663,T4040,富士化学塗料株式会社　大森営業所,143,13,東京都大田区大森南３－８－１,50,0,,52,0,,-,無し,,T4040,,100
664,T4040,原田塗料株式会社,140,4,東京都品川区南品川１－５－７,50,0,,52,0,,-,無し,,T4040,H225,100
665,T4050,株式会社　アイベック,337,53,埼玉県さいたま市見沼区,75,0,,93,0,,-,無し,,T4050,,100
666,T0491,株式会社　早川塗料製品所,350,833,埼玉県川越市芳野台１－１０３－１２,150,0,,131,0,,-,無し,,T0491,H226,100
667,T4050,有限会社　飯田塗料,135,0002,東京都江東区住吉１－１４－６,50,0,,52,0,,-,無し,,T4050,H227,100
668,T4050,株式会社　影山鍍金工業所,131,0043,東京都墨田区立花１－１１－７,50,0,,52,0,,-,無し,,T4050,H228,100
669,T4050,白電工熱株式会社,341,0037,埼玉県三郷市高洲２－８－２,50,0,,84,0,,-,無し,,T4050,H229,100
670,T4050,有限会社　渡辺塗装,133,0043,東京都江戸川区松本２－３７－２１,50,0,,52,0,,-,無し,,T4050,H230,100
671,T4050,鈴木鍍金工業株式会社,334,0076,埼玉県川口市本蓮４－６－１６,50,0,,52,0,,-,無し,,T4050,H231,100
672,T4050,カネジ塗料株式会社,132,0022,東京都江戸川区大杉５－６－１,50,0,,52,0,,-,無し,,T4050,H232,100
673,T4050,株式会社　進光舎鍍金,131,0041,東京都墨田区八広４－４２－７,50,0,,52,0,,-,無し,,T4050,H233,100
