事業所コード,相手先コード１,相手先名称１,郵便番号１,郵便番号２,住所１,ﾄｰﾙ距離,ﾄｰﾙ中継回数,ﾄｰﾙ行く行かない,新潟距離,新潟中継回数,新潟行く行かない,ｹｲﾋﾝ,顧客指定運送屋,輸出向先,得意先コード,納入先コード,西濃距離
478,T3270,株式会社　エス・イー・ワークス,224,0053,神奈川県横浜市都築区池辺町４０２８番地,100,0,,88,0,,-,無し,,T3270,,100
479,T3280,株式会社　箔栄社　第一塗装工場,454,0996,愛知県名古屋市中川区伏屋5-701,500,0,,435,0,,-,無し,,T3280,,450
480,T3290,株式会社　不二蒸着,421,0302,静岡県榛原郡吉田町川尻９６５－３,300,0,,270,0,,-,無し,,T3290,,300
481,T3290,富士産業株式会社,421,0421,静岡県牧ノ原市坂部３２２８番地,300,0,,332,1,,-,無し,,T3290,H069,300
482,T3300,株式会社　ボルテックスサポート,105,0013,東京都港区浜松町　１－２５－１１,50,0,,52,0,,-,無し,,T3300,,100
483,T3300,株式会社　サンリツ,230,0054,神奈川県横浜市鶴見区大黒ふ頭22Y-CC物流棟,100,0,,88,0,,横浜,無し,y,T3300,CHD01,100
484,T3300,鶴見倉庫株式会社,230,0053,神奈川県横浜市鶴見区大黒町８－１,100,0,,88,0,,横浜,無し,y,T3300,CHD05,100
485,T3310,大橋化学工業株式会社,567,0028,大阪府茨木市畑田町６番２１号,650,0,,628,0,,-,無し,,T3310,,650
486,T3310,株式会社　ダイテック,448,0006,愛知県刈谷市西境町前山9-1,400,0,,416,1,,-,無し,,T3310,H072,450
487,T3320,株式会社　東立工芸,333,0811,埼玉県川口市戸塚６－２１－２２,50,0,,52,0,,-,無し,,T3320,,100
488,T3330,株式会社　新技術研究所,412,0047,静岡県御殿場市神場字水上６１６－３,200,0,,231,1,,-,無し,,T3330,,250
489,T3340,株式会社　フォルム,183,0035,東京都府中市四谷４－５９－１７,150,0,,135,1,,-,無し,,T3340,,150
490,T3340,株式会社　フォルム別館,183,0035,東京都府中市四谷４－５６－１２,150,0,,135,1,,-,無し,,T3340,H082,150
491,T3350,南部化成株式会社　裾野事業所,410,1105,静岡県裾野市下和田８２－１,200,0,,191,0,,-,新潟,,T3350,,250
