事業所コード,相手先コード１,相手先名称１,郵便番号１,郵便番号２,住所１,ﾄｰﾙ距離,ﾄｰﾙ中継回数,ﾄｰﾙ行く行かない,新潟距離,新潟中継回数,新潟行く行かない,ｹｲﾋﾝ,顧客指定運送屋,輸出向先,得意先コード,納入先コード,久留米距離
377,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,HAS02,-
378,T2880,日通商事㈱成田サテライト,287,0225,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,HAS03,-
379,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,HAS04,-
380,T2880,西鉄物流株式会社　梱包センター,289,1608,千葉県山武郡芝山町岩山１４８－１５,100,0,,149,1,,成田,無し,y,T2880,HAS05,-
381,T2880,西鉄物流㈱　成田梱包センター,289,1608,千葉県山武郡芝山町岩山1340-48,100,0,,149,1,,成田,無し,y,T2880,IDL01,-
382,T2880,日通商事株式会社　成田サテライト,287,0225,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,IDL02,-
383,T2880,株式会社　築港,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,INB01,-
384,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,INI01,-
385,T2880,株式会社　築港　横浜化学品ｾﾝﾀｰ,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,INN11,-
386,T2880,日通商事株式会社　成田サテライト,286,0826,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,INN12,-
387,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,INN13,-
388,T2880,株式会社 近鉄エクスプレス　成田ターミナ,289,1603,千葉県山武郡芝山町157-1,100,0,,149,1,,成田,無し,y,T2880,INS01,-
389,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,INS02,-
390,T2880,株式会社　日祥物流,287,0242,千葉県成田市多良貝245-3031,100,0,,143,1,,成田,無し,y,T2880,INS03,-
391,T2880,日通商事株式会社　成田サテライト,287,0225,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,INS04,-
392,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,INS05,-
393,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,JUS01,-
394,T2880,㈱築港9号地倉庫,455,0028,愛知県名古屋市港区潮見町10-3,400,0,,383,0,,愛知,無し,y,T2880,JUS02,-
395,T2880,日通商事㈱成田サテライト,286,0826,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,JUS03,-
396,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,JUS04,-
397,T2880,丸一海運株式会社　大阪港化学品センター,559,0034,大阪府大阪市住之江区南港北３－４－９９,600,0,,572,0,,大阪,無し,y,T2880,JUS05,-
398,T2880,丸一海運株式会社　大阪港化学品センター,559,0000,大阪府大阪市住之江区南港北３－４－９９,600,0,,572,0,,大阪,無し,y,T2880,MAE01,-
399,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,MAE02,-
400,T2880,㈱築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,MAI01,-
401,T2880,日通商事㈱成田サテライト,286,0826,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,MAI03,-
402,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,MAI04,-
403,T2880,丸一海運㈱　大阪港化学品センター,559,0034,大阪府大阪市住之江区南港北３－４－９９,600,0,,572,0,,大阪,無し,y,T2880,TES01,-
404,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,TES02,-
405,T2880,日通商事㈱　成田梱包センター,287,0225,千葉県成田市吉岡1213-1,100,0,,143,1,,成田,無し,y,T2880,TES03,-
406,T2880,西鉄物流㈱梱包センター,289,1608,千葉県山武郡芝山町岩山１４８－１５,100,0,,149,1,,成田,無し,y,T2880,TES04,-
407,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,TES05,-
408,T2880,西鉄物流株式会社,259,1608,千葉県山武郡芝山町岩山１４８－１５,100,0,,149,1,,成田,無し,y,T2880,USF01,-
409,T2880,日通商事株式会社　成田梱包センター,287,0225,千葉県成田市吉岡1213-1,100,0,,143,1,,成田,無し,y,T2880,VES01,-
410,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町 5-81,50,0,,100,0,,横浜,無し,y,T2880,VES02,-
411,T2880,ＪＡＬカーゴサービス,289,1608,千葉県山武郡芝山町岩山１４８－１５,100,0,,149,1,,-,無し,y,T2880,VES03,-
412,T2880,丸一海運株式会社,559,0034,大阪府大阪市住之江区南港北３－４－９９,600,0,,572,0,,大阪,無し,y,T2880,VES04,-
413,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,VES05,-
414,T2880,日通商事株式会社　成田サテライト,286,0826,千葉県成田市東和泉字境前　443-50,100,0,,143,1,,成田,無し,y,T2880,WUS01,-
415,T2890,ホンダ太陽株式会社　日出工場,879,1505,大分県速見郡日出町大字川崎３９６８,1300,0,,1290,1,-,-,無し,,T2890,,1300
416,T2890,ホンダ太陽株式会社　日出工場,879,1505,大分県速見郡日出町大字川崎３９６８,1300,0,,1290,1,-,-,無し,,T2890,H066,1300
417,T2900,極東貿易株式会社,100,8670,東京都千代田区大手町２－２－１,50,1,,100,0,,-,無し,,T2900,,-
418,T2900,極東貿易株式会社,,,東京都千代田区大手町２－２－１,50,1,,100,0,,-,無し,,T2900,H032,-
419,T2900,㈱森谷真空　藤沢工場,252,0823,神奈川県藤沢市菖蒲沢　６８番地,100,0,,126,1,,-,無し,,T2900,H033,-
420,T2900,パナソニックライティングシステムズ(株),669,4141,兵庫県丹波市春日町黒井９０８,700,0,,709,1,,-,無し,,T2900,H083,-
421,T2900,㈱森谷真空　塚越工場,212,0024,神奈川県川崎市幸区塚越3丁目415番地,50,0,,100,0,,-,無し,,T2900,H126,-
422,T2900,イイノエンタープライズ株式会社,135,0063,東京都江東区有明４－２－７,50,0,,100,0,,江東,無し,y,T2900,USS01,-
423,T2900,郵船航空サービス㈱　成田ﾛｼﾞｽﾃｨｯｸｾﾝﾀｰ,289,1608,千葉県山武郡芝山町岩山字大宿1340-49,100,0,,149,1,,成田,無し,y,T2900,USS02,-
424,T2920,市光工業株式会社　生産技術開発部,259,1145,神奈川県伊勢原市板戸８０,100,0,,100,0,,-,新潟,,T2920,,-
425,T2920,市光工業株式会社 藤岡製造所,375,0043,群馬県藤岡市東平井１４６７,160,1,,134,1,,-,新潟,,T2920,H080,-
426,T2920,九州市光工業株式会社,871,0101,大分県中津市三光森山３２１－４,1200,0,,1195,1,-,-,無し,,T2920,H081,1300
427,T2960,株式会社　ﾌｨｱﾛｺｰﾎﾟﾚｰｼｮﾝ　狭山工場,350,1328,埼玉県狭山市広瀬台２－１２－３７,70,0,,100,0,,-,無し,,T2960,,-
428,T2960,株式会社　フィアロコーポレーション,350,1321,埼玉県狭山市上広瀬東中原８０１－１,70,0,,100,0,,-,無し,,T2960,H044,-
429,T2960,株式会社　ﾌｨｱﾛｺｰﾎﾟﾚｰｼｮﾝ　栃木工場,321,3325,栃木県芳賀郡芳賀町芳賀台１１３,170,0,,156,1,,-,無し,,T2960,H166,-
430,T3010,津田工業株式会社　東松山工場,355,0071,埼玉県東松山市新郷８８－２４,70,0,,116,1,,-,無し,,T3010,,-
431,T3010,津田工業株式会社　本社工場,355,0812,埼玉県比企郡滑川町都２５－３５,70,0,,110,1,,-,無し,,T3010,H102,-
432,T3010,津田工業株式会社　騎西工場,347,0111,埼玉県加須市鴻茎３２０４－３,50,0,,124,1,,-,無し,,T3010,H103,-
433,T3010,津田工業株式会社　川里工場,365,0001,埼玉県鴻巣市赤城台362-28(川里工業団地),100,0,,100,0,,-,無し,,T3010,H117,-
434,T3020,株式会社　トータス技実,259,1306,神奈川県秦野市戸川４５－１,100,0,,100,0,,-,無し,,T3020,,-
435,T3050,新潟三桂株式会社,959,3937,新潟県村上市板屋沢１４０－６,450,1,,394,0,,-,無し,,T3050,,-
436,T3060,㈱日産クリエイティブサービス,243,0136,神奈川県厚木市岡津古久５６０－２,100,0,,100,0,,-,無し,,T3060,,-
437,T3060,日産自動車株式会社,243,0136,神奈川県厚木市岡津古久５６０－２,100,0,,100,0,,-,無し,,T3060,H029,-
438,T3060,日産トレーディングセンター,243,0425,神奈川県海老名市中野４５－１,100,0,,100,0,,-,無し,,T3060,H030,-
439,T3080,株式会社　アイテム,192,0032,東京都八王子市石川町２９６３－４,100,0,,100,0,,-,無し,,T3080,,-
440,T3090,オズワークス　インターナショナル,105,0013,東京都港区浜松町　１－２５－１１,50,0,,100,0,,-,無し,,T3090,,-
441,T3090,阪神エアーカーゴ　成田物流センター,287,0242,千葉県成田市多良貝245-161,100,0,,143,1,,成田,無し,y,T3090,CHD01,-
442,T3090,ＮＳカーゴ Ｃ/Ｏ ＡＣカーゴ,289,1601,千葉県山武郡芝山町香山新田字矢志ヶ谷49-3,100,0,,149,1,,-,無し,y,T3090,CHD02,-
443,T3090,株式会社サンリツ,230,0054,神奈川県横浜市鶴見区大黒ふ頭22Y-CC物流棟,50,0,,100,0,,横浜,無し,y,T3090,CHD03,-
444,T3090,株式会社　ボルテックスセイグン,379,0133,群馬県安中市原市88番地,160,0,,123,0,,-,無し,y,T3090,CHD04,-
445,T3090,井沢工業株式会社,370,1125,群馬県佐波郡玉村町八幡原２０４８,160,1,,124,1,,-,無し,,T3090,H078,-
446,T3100,アシスト株式会社,252,0154,神奈川県相模原市緑区長竹２４０,100,0,,120,0,,-,無し,,T3100,,-
447,T3110,日研産業株式会社,400,0113,山梨県甲斐市富竹新田２０２５－３,200,1,,151,0,,-,無し,,T3110,,-
448,T3110,日研産業株式会社　メッキ部,400,0851,山梨県甲府市住吉４－９－８,200,1,,151,0,,-,無し,,T3110,H031,-
449,T3120,上原ネームプレート工業株式会社,078,8271,北海道旭川市工業団地１条２丁目３番地３３,1400,1,,1209,1,,-,無し,,T3120,,-
450,T3130,日本バンパー販売株式会社,332,0003,埼玉県川口市東領家４－２０－２,50,0,,100,0,,-,無し,,T3130,,-
451,T3140,株式会社　新潟テクノ,945,0114,新潟県柏崎市藤井1408番地1,400,1,,322,0,,-,無し,,T3140,,-
452,T3150,株式会社　アドバンス,350,0214,埼玉県坂戸市千代田５－１－４,70,0,,100,0,,-,無し,,T3150,,-
453,T3160,東海電装株式会社　(316),490,1144,愛知県海部郡大治町,400,0,,383,0,,-,無し,,T3160,,-
454,T3160,株式会社　東海化成工業所,501,2101,岐阜県山県市大桑３１０－１,450,0,,438,1,,-,無し,,T3160,H055,-
455,T3160,三協化学工業株式会社,438,0002,静岡県磐田市大久保４７８－８,300,0,,276,0,,-,無し,,T3160,H056,-
456,T3160,ＹＫＰ工業株式会社,509,9131,岐阜県中津川市千旦林字星ヶ見６５１－１５,400,1,,455,1,,-,無し,,T3160,H060,-
457,T3160,株式会社　木島工作所,480,0134,愛知県丹羽郡大口町豊田,400,0,,383,0,,-,無し,,T3160,H065,-
458,T3160,ＮＴメカトロニクス株式会社,438,0002,静岡県磐田市大久保４７４－４,300,0,,276,0,,-,無し,,T3160,H070,-
459,T3160,南部化成株式会社　裾野事業所,410,1105,静岡県裾野市下和田８２－１,150,0,,138,0,,-,新潟,,T3160,H136,-
460,T3160,白金鍍金工業株式会社,463,0808,愛知県名古屋市守山区花咲台２－１００１,400,0,,383,0,,-,無し,,T3160,H137,-
461,T3160,トリックスプロシード株式会社,461,0040,愛知県名古屋市東区矢田３－２－５５,500,0,,383,0,,-,無し,,T3160,H157,-
462,T3170,河口化学　有限会社,144,0051,東京都大田区西蒲田,50,0,,100,0,,-,無し,,T3170,,-
463,T3170,㈱築港　ポートアイランド化学品センター,650,0045,兵庫県神戸市中央区港島8-7,650,0,,610,0,,-,無し,y,T3170,CHK01,-
464,T3180,ダイヤインジェクション,440,8601,愛知県豊橋市牛川通４丁目１番地２,360,0,,314,0,,-,無し,,T3180,,-
465,T3180,アサヒプロダクト株式会社,441,1113,愛知県豊橋市東森岡１丁目１０－１３－５,360,0,,314,0,,-,無し,,T3180,H046,-
466,T3190,ＤＢＣ株式会社,343,0023,埼玉県越谷市東越谷６－１２２－１,50,0,,100,0,,-,無し,,T3190,,-
467,T3200,株式会社　三和スクリーン銘板,496,8002,愛知県愛西市佐折町宮寺５５,400,0,,383,0,,-,無し,,T3200,,-
468,T3200,株式会社　三和スクリーン銘板 美濃工場,501,3772,岐阜県美濃市楓台７２－１１,450,0,,441,1,,-,無し,,T3200,H059,-
469,T3210,株式会社　中島商会,701,0143,岡山県岡山市白石４４１－２,800,0,,742,0,,-,無し,,T3210,,-
470,T3210,ランズバーグ・インダストリー株式会社,816,0092,福岡県福岡市博多区東那珂３－５－２７,1200,0,,1213,1,-,-,無し,,T3210,H061,1300
471,T3220,株式会社　エイアイエム,132,0001,東京都江戸川区新堀１－２７－１２,50,0,,100,0,,-,無し,,T3220,,-
472,T3220,ディアンドディ株式会社,370,0027,群馬県高崎市上滝町２７３－１,160,1,,109,0,,-,無し,,T3220,H154,-
473,T3230,有限会社　ワールド ホイール サービス,431,3104,静岡県浜松市東区貴平町１５０６－１,300,0,,276,0,,-,無し,,T3230,,-
474,T3240,株式会社　日南クリエイティブベース,252,1125,神奈川県綾瀬市吉岡東１－１４－１３,100,0,,100,0,,-,無し,,T3240,,-
475,T3240,株式会社　日南,252,1125,神奈川県綾瀬市吉岡東１－１４－１３,100,0,,100,0,,-,無し,,T3240,H064,-
476,T3250,株式会社　ニコン,244,8533,神奈川県横浜市栄区長尾台４７１,100,0,,100,0,,-,無し,,T3250,,-
477,T3260,有限会社　ファーム　ファクトリー,432,8063,静岡県浜松市南区小沢渡町６９８－１,300,0,,276,0,,-,無し,,T3260,,-
478,T3270,株式会社　エス・イー・ワークス,224,0053,神奈川県横浜市都築区池辺町４０２８番地,50,0,,120,0,,-,無し,,T3270,,-
479,T3280,株式会社　箔栄社　第一塗装工場,454,0996,愛知県名古屋市中川区伏屋5-701,400,0,,383,0,,-,無し,,T3280,,-
480,T3290,株式会社　不二蒸着,421,0302,静岡県榛原郡吉田町川尻９６５－３,250,0,,230,0,,-,無し,,T3290,,-
481,T3290,富士産業株式会社,421,0421,静岡県牧ノ原市坂部３２２８番地,250,0,,280,1,,-,無し,,T3290,H069,-
482,T3300,株式会社　ボルテックスサポート,105,0013,東京都港区浜松町　１－２５－１１,50,0,,100,0,,-,無し,,T3300,,-
483,T3300,株式会社　サンリツ,230,0054,神奈川県横浜市鶴見区大黒ふ頭22Y-CC物流棟,50,0,,100,0,,横浜,無し,y,T3300,CHD01,-
484,T3300,鶴見倉庫株式会社,230,0053,神奈川県横浜市鶴見区大黒町８－１,50,0,,100,0,,横浜,無し,y,T3300,CHD05,-
485,T3310,大橋化学工業株式会社,567,0028,大阪府茨木市畑田町６番２１号,600,0,,569,0,,-,無し,,T3310,,-
486,T3310,株式会社　ダイテック,448,0006,愛知県刈谷市西境町前山9-1,400,0,,364,1,,-,無し,,T3310,H072,-
487,T3320,株式会社　東立工芸,333,0811,埼玉県川口市戸塚６－２１－２２,50,0,,100,0,,-,無し,,T3320,,-
488,T3330,株式会社　新技術研究所,412,0047,静岡県御殿場市神場字水上６１６－３,150,0,,178,1,,-,無し,,T3330,,-
489,T3340,株式会社　フォルム,183,0035,東京都府中市四谷４－５９－１７,100,0,,131,1,,-,無し,,T3340,,-
490,T3340,株式会社　フォルム別館,183,0035,東京都府中市四谷４－５６－１２,100,0,,131,1,,-,無し,,T3340,H082,-
491,T3350,南部化成株式会社　裾野事業所,410,1105,静岡県裾野市下和田８２－１,150,0,,138,0,,-,新潟,,T3350,,-
492,T3350,有限会社　原田塗装工業所,438,0215,静岡県磐田市小中瀬７１７,300,0,,276,0,,-,無し,,T3350,H098,-
493,T3350,有限会社　真永,421,0212,静岡県焼津市利右衛門２７２０－１,200,0,,230,0,,-,無し,,T3350,H105,-
494,T3350,株式会社　光輝社　焼津製作所,425,0087,静岡県焼津市保福島５６９,200,0,,230,0,,-,新潟,,T3350,H145,-
495,T3360,二葉産業株式会社,463,0808,愛知県名古屋市守山区花咲台２－５０１,400,0,,383,0,,-,無し,,T3360,,-
496,T3360,白金鍍金工業株式会社,463,0808,愛知県名古屋市守山区花咲台２－１００１,400,0,,383,0,,-,無し,,T3360,H106,-
497,T3370,株式会社　アイ・ライティング・システム,365,0001,埼玉県鴻巣市赤城台２１２－１０,100,0,,100,0,,-,無し,,T3370,,-
498,T3380,市光工業株式会社　伊勢原製造所,259,1192,神奈川県伊勢原市板戸８０,100,0,,100,0,,-,新潟,,T3380,,-
499,T3381,市光工業株式会社　藤岡製造所,375,8507,群馬県藤岡市東平井１４６７,160,1,,134,1,,-,新潟,,T3381,,-
500,T3390,双日プラネット株式会社,107,8655,東京都港区赤坂２－１４－２７,50,0,,100,0,,-,無し,,T3390,,-
501,T3390,株式会社スカイパッキング,289,2231,千葉県香取郡多古町飯笹字蛭ヶ谷３６－５,100,0,,112,1,,-,無し,y,T3390,BRS01,-
502,T3400,株式会社表面化工研究所,309,1715,茨城県笠間市湯崎８４５－５,150,1,,163,1,,-,無し,,T3400,,-
503,T3410,横浜化成株式会社,108,8388,東京都港区高輪２－２１－４３,50,0,,100,0,,-,無し,,T3410,,-
504,T3410,オーデリック株式会社　山形工場,999,3701,山形県東根市東根甲５５４４,420,1,,382,0,,-,無し,,T3410,H099,-
505,T3420,株式会社ｎｉｔｔｏｈ,392,0131,長野県諏訪市湖南4529,350,1,,223,0,,-,無し,,T3420,,-
506,T3430,株式会社　小糸製作所　（本社）,108,8711,東京都港区高輪4-8-3,50,0,,100,0,,-,無し,,T3430,,-
507,T3440,九州南部化成株式会社,879,4414,大分県玖珠郡玖珠町大字大隈２１８,1300,1,,1325,2,-,-,無し,,T3440,,1400
508,T3450,有限会社　野口工芸,341,0044,埼玉県三郷市戸ヶ崎３－７５２－３,50,0,,100,0,,-,無し,,T3450,,-
509,T3460,パナソニック電工株式会社,571,8686,大阪府門真市大字門真1048,600,0,,572,0,,-,無し,,T3460,,-
510,T3460,パナソニック電工株式会社,571,8686,大阪府門真市門真1048,600,0,,572,0,,-,無し,,T3460,H118,-
511,T3470,有限会社　稲垣産業,507,0048,岐阜県多治見市池田町８－２０,400,1,,411,1,,-,無し,,T3470,,-
512,T3470,明和工業株式会社,507,0901,岐阜県多治見市笠原町９９３,400,1,,411,1,,-,無し,,T3470,H162,-
513,T3480,岩崎電気株式会社　産業光源課,361,8505,埼玉県行田市壱里山町1-1,100,0,,110,1,,-,無し,,T3480,,-
514,T3490,東洋加工株式会社　美里工場,367,0115,埼玉県児玉郡美里町猪俣１９６４,100,0,,149,1,,-,無し,,T3490,,-
515,T3500,高圧化工株式会社　千葉工場,289,2505,千葉県旭市鎌数１０８１５番地,50,1,,72,0,,-,無し,,T3500,,-
516,T3510,豊通ケミプラス株式会社　東京自動車材料部,108,8202,東京都港区港南２－３－１３,50,0,,100,0,,-,無し,,T3510,,-
517,T3510,協和理化学工業,502,0005,岐阜県岐阜市岩崎６４６,450,0,,418,0,,-,無し,,T3510,H130,-
518,T3510,豊田合成株式会社,492,8540,愛知県稲沢市北島町西の町３０番地,400,0,,420,0,,-,無し,,T3510,H139,-
519,T3510,愛知陸運株式会社,479,0881,愛知県常滑市セントレア3-16-2,400,0,,388,1,,愛知,新潟,y,T3510,KOT01,-
520,T3520,美光産業株式会社,421,1121,静岡県藤枝市岡部町岡部２２０９－１８,200,0,,230,0,,-,無し,,T3520,,-
521,T3530,株式会社　大塚プラスチック工業,370,2324,群馬県富岡市南後箇1804,160,1,,109,0,,-,無し,,T3530,,-
522,T3540,株式会社　京葉真空テクノ,444,3605,愛知県岡崎市中金町字大洞18-9,360,0,,354,0,,-,無し,,T3540,,-
523,T3550,井沢工業株式会社,370,1125,群馬県佐波郡玉村町八幡原２０４８,160,1,,124,1,,-,無し,,T3550,,-
524,T3560,ＣＢＣ株式会社,411,0821,静岡県三島市平田100,150,0,,138,0,,-,無し,,T3560,,-
525,T3570,株式会社　トウ・プラス,368,0056,埼玉県秩父市寺尾３６４９,100,1,,160,1,,-,無し,,T3570,,-
526,T3580,株式会社　友仁エンジニアリング,273,0136,千葉県鎌ヶ谷市佐津間,50,0,,0,0,,-,無し,,T3580,,-
527,T3590,株式会社　エイアイエム　群馬工場,370,0027,群馬県高崎市上滝町２７３－１,160,1,,109,0,,-,無し,,T3590,,-
528,T3600,三和バキューム,123,0851,東京都足立区梅田７－２６－６,50,0,,100,0,,-,無し,,T3600,,-
529,T3610,株式会社　シバックス・デスモ,224,0057,神奈川県横浜市都筑区川和町２５５－３,50,0,,120,0,,-,無し,,T3610,,-
530,T3620,株式会社　サナック,370,1124,群馬県佐波郡玉村町角渕５１３１,160,1,,124,1,,-,無し,,T3620,,-
531,T3630,有限会社　島田工業所　川口工場,334,0074,埼玉県川口市江戸１－１６－４３,50,0,,100,0,,-,無し,,T3630,,-
532,T3640,三光合成株式会社　静岡工場,437,1434,静岡県掛川市下土方３５６０,250,0,,245,0,,-,無し,,T3640,,-
533,T3650,株式会社　板通　埼玉支店,355,0006,埼玉県東松山市市ノ川４８４－１,70,0,,116,1,,-,無し,,T3650,,-
534,T3660,株式会社　シェリー,377,0005,群馬県渋川市有馬１７９１－３,170,1,,149,1,,-,無し,,T3660,,-
535,T3660,株式会社　シェリー,377,0007,群馬県渋川市石原１５５８－１,170,1,,149,1,,-,無し,,T3660,H171,-
536,T3670,ＡＴＥジャパン株式会社,332,0012,埼玉県川口市本町２－６－２５－１０２,50,0,,100,0,,-,無し,y,T3670,,-
537,T3680,玉川電器株式会社,240,0005,神奈川県横浜市保土ヶ谷区神戸町１３４,50,0,,120,0,,-,無し,,T3680,,-
538,T3680,玉川電器株式会社　宮城工場,981,4316,宮城県加美郡加美町月崎字鳥屋ヶ森１－６,400,1,,412,1,,-,新潟,,T3680,H174,-
539,T3690,株式会社　大友製作所,318,0023,茨城県高萩市島名１６４５,200,1,,176,1,,-,無し,,T3690,,-
540,T3690,川添工業株式会社,370,0311,群馬県渋川市村上３０５－１,170,1,,149,1,,-,無し,,T3690,H176,-
541,T3690,オーラ産業株式会社,370,0612,群馬県邑楽郡邑楽町新中野１３０－９,120,1,,140,1,,-,無し,,T3690,H177,-
542,T3700,川添工業　株式会社,377,0311,群馬県渋川市村上３０５－１,170,1,,149,1,,-,無し,,T3700,,-
543,T0060,朝日真空株式会社,426,0002,静岡県藤枝市横内８００－１１,200,0,,230,0,,-,無し,,T0060,H188,-
544,T3710,西東京ケミックス株式会社,192,0033,東京都八王子高倉町２－１,100,0,,100,0,,-,無し,,T3710,,-
545,T3710,舟津産業株式会社,236,0003,神奈川県横浜市金沢区幸浦２－９－１２,50,0,,100,0,,横浜,無し,y,T3710,VEN01,-
546,T3720,株式会社　島津製作所,259,1304,神奈川県秦野市堀山下３８０－１,100,0,,100,0,,-,無し,,T3720,,-
547,T3500,株式会社　マスニ,292,0212,千葉県木更津市真理１８４０,50,1,,190,1,,-,無し,,T3500,H189,-
548,T3730,株式会社　プラシーズ,111,0052,東京都台東区柳橋１－２－１２,50,0,,100,0,,-,無し,,T3730,,-
549,T1031,小山化工株式会社,142,0062,東京都品川区小山６－１５－６,50,1,,100,0,,-,無し,,T1031,H190,-
550,T1031,有限会社　満寿矢特殊硝子,230,0011,神奈川県横浜市鶴見区上末吉３－２－１８,50,0,,100,0,,-,無し,,T1031,H191,-
551,,トール東大阪支店止め,581,0852,大阪府八尾市西高安町4-57-1,600,0,,,,-,-,ﾄｰﾙ,,,,-
552,,大阪出張所,581,0844,大阪府八尾市福栄町2-37,600,0,,,,,-,ﾄｰﾙ,,,,-
553,,大阪倉庫,578,0921,大阪府東大阪市水走5-6-23,600,0,,572,0,,大阪,ﾄｰﾙ,,,,-
554,T3740,長瀬産業株式会社　コーティング材料部,103,8355,東京都中央区日本橋小舟町５－１,50,1,,100,0,,-,無し,,T3740,,-
555,T1210,西鉄物流株式会社　梱包センター,289,1689,千葉県山武郡芝山町岩山１４８－１５,100,0,,149,1,,成田,無し,y,T1210,TAD12,-
556,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,50,0,,100,0,,横浜,無し,y,T2880,USF03,-
557,T3510,シーガル・セントレア・ターミナル,479,0881,愛知県常滑市セントレア３－１２－２,400,0,,388,1,,愛知,新潟,y,T3510,PKO01,-
558,T1210,株式会社　阪急阪神エクスプレス,289,1601,千葉県山武郡芝山町香山新田６５－３,100,0,,149,1,,成田,無し,y,T1210,INK11,-
559,T0070,株式会社　向陽技研,470,0214,愛知県みよし市明知町八和田山３－３２,400,0,,433,1,,-,無し,,T0070,H192,-
560,T3750,島津産機システムズ株式会社,259,1304,神奈川県秦野市堀山下３８０－１,100,0,,100,0,,-,無し,,T3750,,-
561,T3750,柿原工業株式会社,721,0956,広島県福山市箕沖町９９－１３,850,0,,804,0,,-,無し,,T3750,H193,-
562,T1210,名鉄観光サービス株式会社,479,0881,愛知県常滑市セントレア３丁目１６－６,400,0,,388,1,,愛知,新潟,y,T1210,IDR01,-
563,T3510,豊通物流株式会社,490,1446,愛知県海部郡飛島村東浜1-5-7,400,0,,383,0,,愛知,無し,y,T3510,PKO02,-
564,T3510,名港海運株式会社　空見梱包センター,455,0847,愛知県名古屋市港区空見町１１番地,400,0,,383,0,,愛知,無し,y,T3510,PKO03,-
565,T1039,東京リッチ産業株式会社,334,0061,埼玉県川口市新堀１３２－１１,50,0,,100,0,,-,無し,,T1039,H194,-
566,T3760,株式会社　秩父イワサキ,369,1311,埼玉県秩父市長瀞町岩田７７０,100,1,,160,1,,-,無し,,T3760,,-
567,T3770,株式会社　小糸製作所　静岡工場,424,8764,静岡県静岡市清水区北脇５００番地,200,0,,193,0,,-,無し,,T3770,,-
568,T3780,豊田通商株式会社　浜松支店,430,7714,静岡県浜松市中区板屋町１１１－２,300,0,,276,0,,-,無し,,T3780,,-
569,T3780,株式会社　タキ倉庫　榛南営業所,421,0302,静岡県榛原郡吉田町川尻５４９－１,250,0,,230,0,,-,無し,,T3780,H195,-
570,T3780,九州南部化成株式会社,879,4414,大分県玖珠郡玖珠町大隈２１８,1300,1,,1325,2,-,-,無し,,T3780,H196,1400
571,T3790,株式会社　ＬＩＸＩＬ,479,8588,愛知県常滑市港町３－７７,400,0,,388,1,,-,新潟,,T3790,,-
