<<<<<<< HEAD
,Žó’‚m‚n,Žó’s‚m‚n,add
0,J104000778,0,1.0
1,J104000775,0,1.0
2,J105000589,0,1.0
3,J104000775,1,1.0
4,J104000876,2,1.0
5,J104000778,1,1.0
6,J104000684,1,1.0
7,J104000684,0,1.0
8,J105000588,1,1.0
9,J105000588,0,1.0
10,J105000588,2,1.0
11,J105000580,1,1.0
12,J105000580,0,1.0
13,J105000602,3,1.0
14,J105000602,0,1.0
15,J105000602,2,1.0
16,J105000602,1,1.0
17,J105000587,0,1.0
18,J104000672,0,1.0
19,J104000674,0,1.0
20,J105000560,0,1.0
21,J105000597,0,1.0
22,J104000874,0,1.0
23,J104000647,4,1.0
24,J104000647,1,1.0
25,J104000647,2,1.0
26,J104000647,3,1.0
27,J104000647,0,1.0
28,J104000780,0,1.0
29,J104000780,2,1.0
30,J104000780,1,1.0
31,J104000780,3,1.0
32,J104000814,0,1.0
33,J104000817,0,1.0
34,J104000847,0,1.0
35,J105000493,0,1.0
36,J105000493,1,1.0
37,J104000864,0,1.0
38,J104000861,0,1.0
39,J104000870,0,1.0
40,J105000605,0,2.0
41,J105000604,0,2.0
42,J105000551,1,1.0
43,J105000551,2,1.0
44,J105000551,0,1.0
45,J105000551,3,1.0
=======
,Žó’‚m‚n,Žó’s‚m‚n,add
0,J104000876,2,1
1,J104000775,1,1
2,J104000775,0,1
3,J105000589,0,1
4,J104000778,0,1
5,J104000778,1,1
6,J104000684,1,1
7,J104000684,0,1
8,J105000588,2,1
9,J105000588,0,1
10,J105000588,1,1
11,J105000580,1,1
12,J105000580,0,1
13,J105000602,2,1
14,J105000602,1,1
15,J105000602,3,1
16,J105000602,0,1
17,J105000587,0,1
18,J104000672,0,1
19,J104000674,0,1
20,J105000560,0,1
21,J105000597,0,1
22,J104000874,0,1
23,J104000647,3,1
24,J104000647,4,1
25,J104000647,1,1
26,J104000647,0,1
27,J104000647,2,1
28,J104000780,0,1
29,J104000780,2,1
30,J104000780,1,1
31,J104000780,3,1
32,J104000817,0,1
33,J104000814,0,1
34,J104000847,0,1
35,J105000493,1,1
36,J105000493,0,1
37,J104000870,0,1
38,J105000604,0,1
39,J105000605,0,1
40,J104000861,0,1
41,J104000864,0,1
42,J105000551,2,1
43,J105000551,1,1
44,J105000551,3,1
45,J105000551,0,1
>>>>>>> origin/develop
