èdó ,ã‡äz
1500,4700
1450,4560
1400,4420
1350,4280
1300,4140
1250,4000
1200,3860
1150,3720
1100,3580
1050,3440
1000,3300
950,3160
900,3020
850,2880
800,2740
750,2600
700,2460
650,2320
600,2180
550,2040
500,1900
450,1760
400,1620
350,1480
300,1340
250,1200
200,1060
150,920
100,780
50,640
